,y,x,updates
149,82.0,10.0,0.0012372944678431376
150,82.0,55.0,0.000508302549809711
151,82.0,64.0,0.004476486859120185
152,82.0,63.0,0.0012372944678431376
153,82.0,75.0,0.0501525180725605
154,82.0,39.0,0.0039681843093104735
155,82.0,54.0,0.0051068075931999584
156,82.0,61.0,0.010035267154162118
157,82.0,94.0,0.0038537974899819204
158,82.0,76.0,0.0031586639458094186
159,82.0,2.0,0.00453607531006888
160,82.0,56.0,0.004362100039791632
161,82.0,45.0,0.028246358415650836
162,82.0,37.0,0.0017613126530277492
163,82.0,57.0,0.028489483033870236
164,82.0,108.0,0.0039681843093104735
165,82.0,40.0,0.003174379581184319
166,82.0,77.0,0.0057021703505633296
167,82.0,44.0,0.0018185936350377208
168,82.0,7.0,0.00571788598593823
169,82.0,24.0,0.0013102910852280099
170,82.0,73.0,0.010046219039489823
171,82.0,74.0,0.003952468673935573
172,107.0,75.0,0.3505263157369181
173,107.0,47.0,0.07042105380750702
174,107.0,70.0,0.07010526433968846
175,107.0,93.0,0.013234449514941422
176,107.0,106.0,0.012918660047122863
177,107.0,103.0,0.00031578946781855887
178,107.0,82.0,0.003868420794479717
179,107.0,11.0,0.0035526313266611583
180,107.0,64.0,0.0035526313266611583
181,107.0,111.0,0.010043859395863346
182,107.0,41.0,0.0035526313266611583
183,107.0,107.0,0.07010526433968846
184,107.0,3.0,0.012918660047122863
185,107.0,40.0,0.013234449514941422
186,107.0,76.0,0.013234449514941422
187,107.0,54.0,0.0009287926254654198
188,107.0,97.0,0.00031578946781855887
189,107.0,114.0,0.00031578946781855887
190,107.0,17.0,0.0009287926254654198
191,107.0,33.0,0.0009287926254654198
192,107.0,27.0,0.012918660047122863
193,107.0,61.0,0.0009287926254654198
194,107.0,4.0,0.00031578946781855887
195,107.0,19.0,0.038947368415213124
196,107.0,45.0,0.006491228069202188
197,107.0,96.0,0.012918660047122863
198,107.0,60.0,0.006491228069202188
199,107.0,92.0,0.006491228069202188
200,107.0,89.0,0.012918660047122863
201,107.0,44.0,0.003868420794479717
202,107.0,9.0,0.00031578946781855887
203,107.0,104.0,0.0009287926254654198
204,107.0,71.0,0.00031578946781855887
205,107.0,102.0,0.010043859395863346
206,107.0,46.0,0.00031578946781855887
207,107.0,65.0,0.0009287926254654198
208,107.0,105.0,0.0009287926254654198
209,107.0,83.0,0.00031578946781855887
210,107.0,73.0,0.07010526433968846
211,107.0,23.0,0.00031578946781855887
212,107.0,48.0,0.0009287926254654198
213,107.0,57.0,0.006491228069202188
214,107.0,2.0,0.0035526313266611583
215,107.0,113.0,0.0035526313266611583
216,107.0,13.0,0.00031578946781855887
217,107.0,52.0,0.004481423952126578
218,107.0,86.0,0.0009287926254654198
219,107.0,59.0,0.0009287926254654198
220,107.0,7.0,0.013847452672588282
221,107.0,79.0,0.0035526313266611583
222,107.0,56.0,0.004481423952126578
223,107.0,80.0,0.0009287926254654198
224,107.0,37.0,0.0035526313266611583
225,107.0,28.0,0.0009287926254654198
226,107.0,69.0,0.003868420794479717
227,107.0,24.0,0.00031578946781855887
228,107.0,55.0,0.0035526313266611583
229,107.0,68.0,0.07042105380750702
230,107.0,77.0,0.013847452672588282
231,107.0,51.0,0.003868420794479717
232,107.0,88.0,0.012918660047122863
233,107.0,94.0,0.0009287926254654198
234,47.0,102.0,0.016836815245892856
235,47.0,19.0,0.0823810131758134
236,47.0,23.0,0.0006677650976893362
237,47.0,7.0,0.013262216438554486
238,47.0,88.0,0.011298201325601203
